date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:09:38	76367/76367	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Apr%202017%2004:09:39%20GMT	https://www.bankofamerica.com/	C:/Users/daniel/Desktop/Computer%20Science/CS%20492/Final/rip/peoples%20rip/www.bankofamerica.com/index.html	(from )
00:09:38	592/592	---M-Z	200	added ('OK')	text/plain	etag:%22bd7-5365872991be0%22	https://www.bankofamerica.com/robots.txt		(from )
00:09:38	32587/32587	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Apr%202017%2004:09:40%20GMT	https://www.bankofamerica.com/mobile/banking.go	C:/Users/daniel/Desktop/Computer%20Science/CS%20492/Final/rip/peoples%20rip/www.bankofamerica.com/mobile/banking.html	(from https://www.bankofamerica.com/)
00:09:39	83168/83168	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Apr%202017%2004:09:40%20GMT	https://www.bankofamerica.com/homepage/overview.go?request_locale=es_US	C:/Users/daniel/Desktop/Computer%20Science/CS%20492/Final/rip/peoples%20rip/www.bankofamerica.com/homepage/overviewe6f6.html	(from https://www.bankofamerica.com/)
00:09:39	96704/96704	---M-Z	200	added ('OK')	text/css	etag:%223bdb-54ac6e48d5180%22	https://www2.bac-assets.com/pa/components/bundles/gzip-compressed/xengine/Global/1.0/style/global-customer-jawr.css	C:/Users/daniel/Desktop/Computer%20Science/CS%20492/Final/rip/peoples%20rip/www2.bac-assets.com/pa/components/bundles/gzip-compressed/xengine/Global/1.0/style/global-customer-jawr.css	(from https://www.bankofamerica.com/)
00:09:39	57822/57822	---M-Z	200	added ('OK')	text/css	etag:%22223f-54ac6e48d5180%22	https://www2.bac-assets.com/pa/components/bundles/gzip-compressed/xengine/PBI-HOMEPAGE/2017.03.0/style/pbi-hp-jawr.css	C:/Users/daniel/Desktop/Computer%20Science/CS%20492/Final/rip/peoples%20rip/www2.bac-assets.com/pa/components/bundles/gzip-compressed/xengine/PBI-HOMEPAGE/2017.03.0/style/pbi-hp-jawr.css	(from https://www.bankofamerica.com/)
00:09:40	394076/394076	---M-Z	200	added ('OK')	application/x-javascript	etag:%221b390-54ac6e47e0f40%22	https://www2.bac-assets.com/pa/components/bundles/gzip-compressed/xengine/Global/1.0/script/global-customer-jawr.js	C:/Users/daniel/Desktop/Computer%20Science/CS%20492/Final/rip/peoples%20rip/www2.bac-assets.com/pa/components/bundles/gzip-compressed/xengine/Global/1.0/script/global-customer-jawr.js	(from https://www.bankofamerica.com/)
00:09:40	0/0	---M--	404	error ('Not%20Found')	text/html		https://www.bankofamerica.com/GET	C:/Users/daniel/Desktop/Computer%20Science/CS%20492/Final/rip/peoples%20rip/www.bankofamerica.com/GET	(from https://www.bankofamerica.com/)
00:09:40	0/0	---M--	404	error ('Not%20Found')	text/html		https://www.bankofamerica.com/undefinedAction.go	C:/Users/daniel/Desktop/Computer%20Science/CS%20492/Final/rip/peoples%20rip/www.bankofamerica.com/undefinedAction.go	(from https://www.bankofamerica.com/)
00:09:40	1720/1720	---M--	200	added ('OK')	application/x-javascript	etag:%226b8-54ac6ff7e4a80%22	https://www.bankofamerica.com/pa/components/modules/tag-manager-module/1.1/script/tag-manager-module-borneo-global-skin.js	C:/Users/daniel/Desktop/Computer%20Science/CS%20492/Final/rip/peoples%20rip/www.bankofamerica.com/pa/components/modules/tag-manager-module/1.1/script/tag-manager-module-borneo-global-skin.js	(from https://www.bankofamerica.com/)
